Region,Country code,Country,Year,Income group,"Enrol. tert. per 100,000 inh",Enrol. tert. all programs,GDP per capita,"GDP per capita, PPP",Government expend. on edu as % of GDP (%),Government expend. on tert. edu as % of GDP (%),Government expend. per tert. studet as % of GDP (%),Internet users,Population growth,Population age for tert. edu.,"Population, total"
East Asia & Pacific,FSM,Micronesia,2010,Lower middle income,,,2861.77134805435,3230.94985546081,,,,20.0,-0.331445171811962,12030.0,103616.0
East Asia & Pacific,FSM,Micronesia,2011,Lower middle income,,,3000.94811922527,3412.90655368719,,,,22.8,-0.14293718993093,,103468.0
East Asia & Pacific,FSM,Micronesia,2012,Lower middle income,,,3150.91060162507,3405.47227886479,,,,25.974423,0.0338211636737707,,103503.0
East Asia & Pacific,FSM,Micronesia,2013,Lower middle income,,,3047.58442460126,3320.56347959372,,,,27.8,0.192080365998875,,103702.0
East Asia & Pacific,FSM,Micronesia,2014,Lower middle income,,,3057.24558957843,3297.18638740067,,,,29.65,0.301371805775894,12313.0,104015.0
East Asia & Pacific,FSM,Micronesia,2015,Lower middle income,,,3018.00867541869,3490.21851101972,12.4677495956421,,,31.50108128,0.401059794567854,,104433.0
East Asia & Pacific,GUM,Guam,2010,High income: nonOECD,,,30700.4340081784,,,,,54.04,0.133678532498092,,159444.0
East Asia & Pacific,GUM,Guam,2011,High income: nonOECD,,,30862.1099963677,,,,,57.7,0.14665240374435,,159678.0
East Asia & Pacific,GUM,Guam,2012,High income: nonOECD,,,32499.234245779,,,,,61.53415931,0.184576355932909,,159973.0
East Asia & Pacific,GUM,Guam,2013,High income: nonOECD,,,33278.2540919719,,,,,65.4,0.25097719418569,,160375.0
East Asia & Pacific,GUM,Guam,2014,High income: nonOECD,,,34361.0802214118,,,,,69.27,0.368455209555819,,160967.0
East Asia & Pacific,GUM,Guam,2015,High income: nonOECD,,,35210.7888279758,,,,,73.13999995,0.514308801199151,,161797.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2010,High income: nonOECD,3785.77758789063,264761.0,32549.998231121,47134.5689688841,3.50843000411987,0.975019991397858,25.6783695220947,72.0,0.734446396338105,452685.0,7024200.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2011,High income: nonOECD,3840.20288085938,270512.0,35142.4879344543,50085.9593288483,3.41118001937866,0.979489982128143,25.4337501525879,72.2,0.672543291818633,446760.0,7071600.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2012,High income: nonOECD,3799.541015625,269838.0,36707.7742282554,51274.0572653412,3.51766991615295,1.15113997459412,30.1677398681641,72.9,1.16687438343774,445378.0,7154600.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2013,High income: nonOECD,4193.16015625,300395.0625,38357.8267596475,53472.2307205948,3.7548999786377,1.46170997619629,34.8141098022461,74.2,0.458789963936049,446512.0,7187500.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2014,High income: nonOECD,4218.78125,304885.78125,40247.3669145832,55514.510938702,3.56972002983093,1.04416000843048,24.6229000091553,79.86627043,0.751257934122812,443285.0,7241700.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2015,High income: nonOECD,,298642.6875,42351.0245957363,57069.7558152262,3.26212000846863,,23.3755493164063,84.94835296,0.879887992461468,436131.0,7305700.0
East Asia & Pacific,IDN,Indonesia,2010,Lower middle income,2069.85766601563,5001048.0,3113.48063451433,8262.89926894218,2.81397008895874,0.451469987630844,21.8116607666016,10.92,1.32140494165303,20665772.0,242524123.0
East Asia & Pacific,IDN,Indonesia,2011,Lower middle income,2191.2255859375,5364301.0,3634.27680451777,8837.82012171405,3.19015002250671,0.496870011091232,,12.28,1.30406671416967,20239432.0,245707511.0
East Asia & Pacific,IDN,Indonesia,2012,Lower middle income,2513.31958007813,6233984.0,3687.95399645786,9421.58695312812,3.40578007698059,0.585330009460449,23.2891407012939,14.52,1.28419898226833,20335060.0,248883232.0
East Asia & Pacific,IDN,Indonesia,2013,Lower middle income,2556.4130859375,6423455.0,3620.66398109522,9979.5172919759,3.35768008232117,0.552299976348877,21.5562591552734,14.94,1.2573268411205,20531690.0,252032263.0
East Asia & Pacific,IDN,Indonesia,2014,Lower middle income,2540.05712890625,6463297.0,3491.59588685069,10537.2125334746,3.27860999107361,0.496199995279312,19.49241065979,17.14,1.22204863107965,20780900.0,255131116.0
East Asia & Pacific,IDN,Indonesia,2015,Lower middle income,,5107999.0,3336.10668610138,11061.6228533009,3.59180998802185,,28.514949798584,21.97606771,1.18101391516764,21059620.0,258162113.0
East Asia & Pacific,JPN,Japan,2010,High income: OECD,3013.13232421875,3836314.0,44507.6763859172,34996.3244625316,3.63579988479614,0.759519994258881,24.3998794555664,78.21,0.0179605415195644,6605765.0,128070000.0
East Asia & Pacific,JPN,Japan,2011,High income: OECD,3049.47387695313,3880544.0,48167.9972684965,35774.6967129559,3.64514994621277,0.735580027103424,23.4045600891113,79.05411352,-0.185226486410846,6475777.0,127833000.0
East Asia & Pacific,JPN,Japan,2012,High income: OECD,3055.40625,3884638.0,48603.4766497749,37191.3859456258,3.69532990455627,0.775150001049042,24.4618701934814,79.4964,-0.159710675844347,6320784.0,127629000.0
East Asia & Pacific,JPN,Japan,2013,High income: OECD,3041.89477539063,3862749.0,40454.4474578903,38974.0794886127,3.66506004333496,0.763610005378723,24.2059497833252,88.21942891,-0.144271883387076,6189149.0,127445000.0
East Asia & Pacific,JPN,Japan,2014,High income: OECD,,3862460.0,38096.2115051033,39386.9088185205,3.59184002876282,0.781289994716644,24.578010559082,89.10683302,-0.132694222147042,6095805.0,127276000.0
East Asia & Pacific,JPN,Japan,2015,High income: OECD,,,34474.1373599536,40686.0243855948,,,,91.05802839,-0.106124993746747,,127141000.0
East Asia & Pacific,KHM,Cambodia,2010,Low income,1358.75537109375,195166.0,785.692884137826,2471.89147442893,1.53534996509552,0.378529995679855,6.59984016418457,1.26,1.53904513328844,1388033.0,14308740.0
East Asia & Pacific,KHM,Cambodia,2011,Low income,1529.64086914063,223222.0,882.49014616105,2658.70924674351,1.50978994369507,,5.27365016937256,3.1,1.58875301356829,1403779.0,14537886.0
East Asia & Pacific,KHM,Cambodia,2012,Low income,,,950.024413172994,2858.71357016752,1.56315004825592,0.0721800029277802,,4.94,1.63047802210168,1505329.0,14776866.0
East Asia & Pacific,KHM,Cambodia,2013,Low income,,,1028.41956811393,3069.58845962627,2.02175998687744,0.123290002346039,,6.8,1.64990082390915,1598732.0,15022692.0
East Asia & Pacific,KHM,Cambodia,2014,Low income,,,1098.68712310927,3291.14499739667,1.90197002887726,,,14.0,1.63799953482268,1651962.0,15270790.0
East Asia & Pacific,KHM,Cambodia,2015,Low income,,217364.0,1163.18977018231,3511.22152298888,,,,19.0,1.60352658015741,1660756.0,15517635.0
East Asia & Pacific,KIR,Kiribati,2010,Lower middle income,,,1493.16051003948,1696.51197430927,,,,9.07,2.05105113450242,10523.0,102652.0
East Asia & Pacific,KIR,Kiribati,2011,Lower middle income,,,1692.61327703329,1706.4809532381,,,,10.0,1.93341542613027,,104656.0
East Asia & Pacific,KIR,Kiribati,2012,Lower middle income,,,1763.81549743152,1794.51840799453,,,,10.74679768,1.8526674296954,,106613.0
East Asia & Pacific,KIR,Kiribati,2013,Lower middle income,,,1724.36173659455,1894.77907423045,,,,11.5,1.78672460919147,,108535.0
East Asia & Pacific,KIR,Kiribati,2014,Lower middle income,,,1619.34256645477,1912.04917329598,,,,12.25,1.75626565996421,10519.0,110458.0
East Asia & Pacific,KIR,Kiribati,2015,Lower middle income,,,1504.71535310173,2098.97636456072,,,,12.99748389,1.74908548931262,,112407.0
East Asia & Pacific,KOR,Korea,2010,High income: OECD,6660.228515625,3269509.0,22086.9529193201,30376.8718192526,,,,83.7,0.49822508440111,3280652.0,49554112.0
East Asia & Pacific,KOR,Korea,2011,High income: OECD,6799.50537109375,3356011.0,24079.788523886,31228.5106952266,,,,83.75912015,0.768971758582589,3372218.0,49936638.0
East Asia & Pacific,KOR,Korea,2012,High income: OECD,6766.24658203125,3359739.0,24358.7821758226,32097.164002476,4.62754011154175,0.721000015735626,10.6945199966431,84.07,0.525713660600414,3456275.0,50199853.0
East Asia & Pacific,KOR,Korea,2013,High income: OECD,6705.078125,3342264.0,25890.0186698906,32615.7725895835,,0.864180028438568,12.8619403839111,84.77,0.455218622164662,3505427.0,50428893.0
East Asia & Pacific,KOR,Korea,2014,High income: OECD,,3318307.0,27811.36638377,33631.5489075505,,,14.6259899139404,87.55682649,0.628149861433639,3522237.0,50746659.0
East Asia & Pacific,KOR,Korea,2015,High income: OECD,,3268099.0,27105.076226264,34421.5795518247,5.05211019515991,,15.9795904159546,89.64863086,0.527288497407793,3507329.0,51014947.0
East Asia & Pacific,LAO,Lao PDR,2010,Lower middle income,1889.5322265625,118295.0,1141.12711507419,3902.92135634081,1.70882999897003,,14.677680015564,7.0,1.52020420325314,723218.0,6246274.0
East Asia & Pacific,LAO,Lao PDR,2011,Lower middle income,1968.34912109375,125323.0,1304.38401463233,4244.45919119085,1.80996000766754,,19.1977005004883,9.0,1.38658273876005,719738.0,6333487.0
East Asia & Pacific,LAO,Lao PDR,2012,Lower middle income,1951.38305664063,126314.0,1588.63314741663,4610.1278975039,1.98464000225067,,15.9945802688599,10.74767619,1.28143888637757,739628.0,6415169.0
East Asia & Pacific,LAO,Lao PDR,2013,Lower middle income,2083.4697265625,137092.0,1838.8060199232,4998.72099531477,3.44942998886108,,23.2745094299316,12.5,1.22990992582027,755719.0,6494557.0
East Asia & Pacific,LAO,Lao PDR,2014,Lower middle income,1979.80358886719,132435.0,2017.58778126222,5407.38855654034,3.32011008262634,,23.1662902832031,14.26,1.25225854939908,765877.0,6576397.0
East Asia & Pacific,LAO,Lao PDR,2015,Lower middle income,,130191.0,2159.43373515764,5797.81571044773,,,,18.2,1.32279258936388,770092.0,6663967.0
East Asia & Pacific,MAC,"Macao SAR, China",2010,High income: nonOECD,5513.38671875,29476.0,52374.7944457228,96198.2410025704,2.63008999824524,1.26238000392914,23.088960647583,55.198,2.1946089306474,47705.0,536969.0
East Asia & Pacific,MAC,"Macao SAR, China",2011,High income: nonOECD,5582.58740234375,30519.0,66813.3497409986,116752.211556318,2.68835997581482,1.60184001922607,28.6347599029541,60.20369672,2.29573929491577,47697.0,549439.0
East Asia & Pacific,MAC,"Macao SAR, China",2012,High income: nonOECD,4634.943359375,25852.0,76496.3661850193,126863.410010361,3.33559989929199,2.27602005004883,49.063549041748,61.31,2.3548485998615,46139.0,562531.0
East Asia & Pacific,MAC,"Macao SAR, China",2013,High income: nonOECD,4889.65869140625,27776.0,89524.8443607146,140037.115597332,2.04919004440308,0.925440013408661,18.8400993347168,65.8,2.3385337251586,44374.0,575841.0
East Asia & Pacific,MAC,"Macao SAR, China",2014,High income: nonOECD,5108.19970703125,29521.0,94004.3898288491,137736.94981459,2.02779006958008,,16.9428997039795,69.78,2.22227169495604,42565.0,588781.0
East Asia & Pacific,MAC,"Macao SAR, China",2015,High income: nonOECD,,30771.0,75573.4807143851,107245.639438688,,,,77.60013186,2.04441261823224,40703.0,600942.0
East Asia & Pacific,MHL,Marshall Islands,2010,Upper middle income,,,3146.76394849785,3408.7767621021,,,,7.0,0.200486963904027,3949.0,52425.0
East Asia & Pacific,MHL,Marshall Islands,2011,Upper middle income,,,3297.55814396102,3513.29121329955,,,,10.0,0.222927298015873,,52542.0
East Asia & Pacific,MHL,Marshall Islands,2012,Upper middle income,2530.68212890625,1330.0,3516.89991075328,3693.22538928095,,,,12.5,0.230027191394767,3103.0,52663.0
East Asia & Pacific,MHL,Marshall Islands,2013,Upper middle income,,,3614.13066126191,3850.70077539415,,,,14.0,0.246548448360723,,52793.0
East Asia & Pacific,MHL,Marshall Islands,2014,Upper middle income,,,3461.7811637491,3882.25100432073,,,,16.8,0.198692480048187,2917.0,52898.0
East Asia & Pacific,MHL,Marshall Islands,2015,Upper middle income,,,3390.91029173114,3910.70520773907,,,,19.2824418,0.181316863031463,3098.0,52994.0
East Asia & Pacific,MMR,Myanmar,2010,Low income,,,987.73658320217,3645.93643504092,,,,0.25,0.710723543924855,4637913.0,50155896.0
East Asia & Pacific,MMR,Myanmar,2011,Low income,1265.23706054688,659510.0,1186.42393738945,3898.41462716496,,,,0.98,0.788682930858104,4650787.0,50553031.0
East Asia & Pacific,MMR,Myanmar,2012,Low income,1207.19384765625,634306.0,1175.56178795298,4225.11935241423,,,,4.0,0.853826227949865,4688779.0,50986514.0
East Asia & Pacific,MMR,Myanmar,2013,Low income,,,1171.46447748189,4613.33978179131,,,,8.0,0.901423211357024,4733752.0,51448196.0
East Asia & Pacific,MMR,Myanmar,2014,Low income,,,1260.42241087532,5024.71097913064,,,,11.52,0.920921765027,4783966.0,51924182.0
East Asia & Pacific,MMR,Myanmar,2015,Low income,,,1138.99227090869,5395.32325411393,,,,21.72583401,0.919199181226726,,52403669.0
East Asia & Pacific,MNG,Mongolia,2010,Lower middle income,6110.94580078125,165769.0,2650.35364830438,7552.66558598877,4.64347982406616,0.310420006513596,5.07972002029419,10.2,1.64885738501064,307989.0,2712650.0
East Asia & Pacific,MNG,Mongolia,2011,Lower middle income,6203.7119140625,171165.0,3769.59526915879,8881.48475043728,4.59987020492554,0.176420003175735,2.84373998641968,12.49999111,1.78537874180971,307411.0,2761516.0
East Asia & Pacific,MNG,Mongolia,2012,Lower middle income,6190.70556640625,173856.0,4368.08224755108,9969.1402182557,,,,16.4,1.89074638945247,295982.0,2814226.0
East Asia & Pacific,MNG,Mongolia,2013,Lower middle income,6179.7216796875,176689.0,4385.37935468846,11093.8501127357,,,,17.69998424,1.9313563339188,283844.0,2869107.0
East Asia & Pacific,MNG,Mongolia,2014,Lower middle income,6021.05712890625,175205.0,4181.5833128422,11954.6180836029,,,,19.94244743,1.89161420109324,272590.0,2923896.0
East Asia & Pacific,MNG,Mongolia,2015,Lower middle income,,179540.0,3946.96207454865,12175.762884125,,,,21.43603111,1.79577908787101,261846.0,2976877.0
East Asia & Pacific,MNP,Northern Mariana Islands,2010,High income: nonOECD,,,14681.0230780538,,,,,,-2.27080185563376,,54424.0
East Asia & Pacific,MNP,Northern Mariana Islands,2011,High income: nonOECD,,,13628.0816569367,,,,,,-1.17920227872403,,53786.0
East Asia & Pacific,MNP,Northern Mariana Islands,2012,High income: nonOECD,,,13980.4162478127,,,,,,-0.126506937544522,,53718.0
East Asia & Pacific,MNP,Northern Mariana Islands,2013,High income: nonOECD,,,14508.8459545488,,,,,,0.59023502273609,,54036.0
East Asia & Pacific,MNP,Northern Mariana Islands,2014,High income: nonOECD,,,15513.6961151502,,,,,,0.796288215489398,,54468.0
East Asia & Pacific,MNP,Northern Mariana Islands,2015,High income: nonOECD,,,17020.5779334501,,,,,,0.636874887938042,,54816.0
East Asia & Pacific,MYS,Malaysia,2010,Upper middle income,3774.67944335938,1061421.0,9071.35698672103,20680.2968483512,4.96907997131348,1.71114003658295,45.3321418762207,56.3,1.81960217613464,2858308.0,28112289.0
East Asia & Pacific,MYS,Malaysia,2011,Upper middle income,3627.04321289063,1036354.0,10405.120619133,21818.8756940003,5.76125001907349,2.13042998313904,58.7372703552246,61.0,1.84274041907181,2927759.0,28635128.0
East Asia & Pacific,MYS,Malaysia,2012,Upper middle income,3709.86572265625,1076675.0,10779.5075072926,23006.9255341614,5.74052000045776,,44.0391998291016,65.8,1.85222003666272,3001288.0,29170456.0
East Asia & Pacific,MYS,Malaysia,2013,Upper middle income,3789.984375,1116733.0,10882.2891042102,24033.9712586347,5.47376012802124,2.07256007194519,44.1208305358887,57.05751226,1.82170012344616,3067939.0,29706724.0
East Asia & Pacific,MYS,Malaysia,2014,Upper middle income,2876.54370117188,860144.0,11183.729432082,25486.5271032877,5.19593000411987,,49.8550987243652,63.66542588,1.73957920597507,3115917.0,30228017.0
East Asia & Pacific,MYS,Malaysia,2015,Upper middle income,,817587.0,9648.55345515912,26675.0133155455,4.96636009216309,,50.3543815612792,71.06406781,1.62473952781179,3135630.0,30723155.0
East Asia & Pacific,NCL,New Caledonia,2010,High income: nonOECD,,,,,,,,42.0,2.02027073175195,,250000.0
East Asia & Pacific,NCL,New Caledonia,2011,High income: nonOECD,,,,,,,,50.0,1.58733491562902,,254000.0
East Asia & Pacific,NCL,New Caledonia,2012,High income: nonOECD,,,,,,,,58.0,1.94937946810011,,259000.0
East Asia & Pacific,NCL,New Caledonia,2013,High income: nonOECD,,,,,,,,66.0,1.53259704782268,,263000.0
East Asia & Pacific,NCL,New Caledonia,2014,High income: nonOECD,,,,,,,,70.0,1.88329483330922,,268000.0
East Asia & Pacific,NCL,New Caledonia,2015,High income: nonOECD,,,,,,,,74.00175279,1.84848146741032,,273000.0
East Asia & Pacific,NZL,New Zealand,2010,High income: OECD,6093.6220703125,266232.0,33691.3483689734,31263.7857861676,7.01146984100342,1.88724005222321,30.2809906005859,80.46,1.1117260560215,322637.0,4350700.0
East Asia & Pacific,NZL,New Zealand,2011,High income: OECD,5953.70654296875,262230.0,38426.5508077771,32734.5366666969,6.95137977600098,1.91817998886108,31.5432300567627,81.23,0.762479795105218,320939.0,4384000.0
East Asia & Pacific,NZL,New Zealand,2012,High income: OECD,5852.0029296875,259588.0,39970.2562445037,32986.0312092787,7.16076993942261,1.83702003955841,30.5964603424072,81.64447018,0.548220797298334,321100.0,4408100.0
East Asia & Pacific,NZL,New Zealand,2013,High income: OECD,5746.75048828125,256608.265625,42889.8814066272,36169.4487879407,6.68585014343262,,29.0095100402832,82.78,0.768347998194806,321910.0,4442100.0
East Asia & Pacific,NZL,New Zealand,2014,High income: OECD,5802.41845703125,260846.6875,44503.2467325879,37182.2513479346,6.33680009841919,1.60736000537872,26.9773597717285,85.5,1.51033948544577,322499.0,4509700.0
East Asia & Pacific,NZL,New Zealand,2015,High income: OECD,,270074.21875,38201.5745534488,37948.6059007143,6.36888980865479,,27.1597595214844,88.22288882,1.88904512495193,321780.0,4595700.0
East Asia & Pacific,PHL,Philippines,2010,Lower middle income,2981.94409179688,2774368.0,2129.49924655622,5483.62094378612,,,,25.0,1.61957314710249,9324350.0,93726624.0
East Asia & Pacific,PHL,Philippines,2011,Lower middle income,3122.9169921875,2951195.0,2352.51815590027,5707.20484246942,,,,29.0,1.64160145671962,9544357.0,95277940.0
East Asia & Pacific,PHL,Philippines,2012,Lower middle income,3170.48828125,3044218.0,2581.81855367229,6099.12075362761,,,,36.2351,1.65369034961466,9726328.0,96866642.0
East Asia & Pacific,PHL,Philippines,2013,Lower middle income,3399.82373046875,3317265.0,2760.28914607311,6526.65018226252,,,,48.09902359,1.65287532839452,9868986.0,98481032.0
East Asia & Pacific,PHL,Philippines,2014,Lower middle income,3594.3544921875,3563396.0,2842.93835295221,6937.55550219887,,,,49.6,1.63281924948264,9966614.0,100102249.0
East Asia & Pacific,PHL,Philippines,2015,Lower middle income,,,2878.33837046494,7334.7101194045,,,,53.7,1.59959919746382,,101716359.0
East Asia & Pacific,PLW,Palau,2010,Upper middle income,,,8956.28236443576,12160.8877434541,,,,,0.627268546979374,1558.0,20470.0
East Asia & Pacific,PLW,Palau,2011,Upper middle income,,,9712.45691538424,12963.1216711203,,,,,0.628213125473391,,20599.0
East Asia & Pacific,PLW,Palau,2012,Upper middle income,,,10362.0339146353,13605.4519716738,,,,,0.768918361516527,,20758.0
East Asia & Pacific,PLW,Palau,2013,Upper middle income,4753.51123046875,863.0,10899.2447418738,13435.527170188,,,,,0.777392465362503,1395.0,20920.0
East Asia & Pacific,PLW,Palau,2014,Upper middle income,,,11682.7676116431,14301.8338105092,,,,,0.828300065770022,1420.0,21094.0
East Asia & Pacific,PLW,Palau,2015,Upper middle income,,,13981.8395340098,15985.2056669514,,,,,0.915489382096548,,21288.0
East Asia & Pacific,PNG,Papua New Guinea,2010,Lower middle income,,,2004.81811175089,3127.01787926792,,,,1.28,2.28802798506389,620530.0,7108239.0
East Asia & Pacific,PNG,Papua New Guinea,2011,Lower middle income,,,2474.06184613921,3155.4035683482,,,,2.0,2.24120700795836,,7269348.0
East Asia & Pacific,PNG,Papua New Guinea,2012,Lower middle income,,,2865.873252112,3290.0738613825,,,,3.5,2.19717653315635,,7430836.0
East Asia & Pacific,PNG,Papua New Guinea,2013,Lower middle income,,,2800.1690288491,3397.00875643449,,,,5.1,2.15706213154454,,7592865.0
East Asia & Pacific,PNG,Papua New Guinea,2014,Lower middle income,,,2965.98928427039,3809.18243272142,,,,6.5,2.12300259824567,693861.0,7755785.0
East Asia & Pacific,PNG,Papua New Guinea,2015,Lower middle income,,,2659.26350693538,4125.30588407676,,,,7.9,2.09300931009046,,7919825.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2010,Low income,,,,,,,,0.0,0.524225014712987,1949511.0,24591599.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2011,Low income,2437.640625,600424.0,,,,,,0.0,0.53007088864334,1980125.0,24722298.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2012,Low income,,,,,,,,0.0,0.531448393800594,,24854034.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2013,Low income,,,,,,,,,0.529463409935176,,24985976.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2014,Low income,,,,,,,,,0.520483861451136,2014651.0,25116363.0
East Asia & Pacific,PRK,Dem. People's Rep. Korea,2015,Low income,,565350.0,,,,,,,0.506566972080324,2014830.0,25243917.0
East Asia & Pacific,PYF,French Polynesia,2010,High income: nonOECD,,,,,,,,49.0,0.839523416855172,,267820.0
East Asia & Pacific,PYF,French Polynesia,2011,High income: nonOECD,,,,,,,,49.0,0.7525195323551,,269843.0
East Asia & Pacific,PYF,French Polynesia,2012,High income: nonOECD,,,,,,,,52.87663059,0.686924957036211,,271703.0
East Asia & Pacific,PYF,French Polynesia,2013,High income: nonOECD,,,,,,,,56.8,0.669443526021069,,273528.0
East Asia & Pacific,PYF,French Polynesia,2014,High income: nonOECD,,,,,,,,60.68,0.712555745989082,,275484.0
East Asia & Pacific,PYF,French Polynesia,2015,High income: nonOECD,,,,,,,,64.56020975,0.797583290011742,,277690.0
East Asia & Pacific,SGP,Singapore,2010,High income: nonOECD,,213446.0,46569.6795060716,70646.8202648274,3.10679006576538,1.08984005451202,27.3651504516602,71.0,1.77183287926401,,5076732.0
East Asia & Pacific,SGP,Singapore,2011,High income: nonOECD,,236891.0,53166.6758056251,75013.1866592974,3.07764005661011,1.09536004066467,26.0526103973389,71.0,2.08490245606007,,5183688.0
