Region,Country code,Country,Year,Income group,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,IT.NET.USER.P2,SP.POP.GROW,SP.TER.TOTL.IN,SP.POP.TOTL
Europe & Central Asia,CYP,Cyprus,2010,High income: nonOECD,30818.4639574235,33295.0278933853,52.99,1.31463527588501,66719.0,1112607.0
Europe & Central Asia,CZE,Czech Republic,2010,High income: OECD,19808.0710912518,27720.919922377,68.82,0.29136167418042,683163.0,10474410.0
Europe & Central Asia,DEU,Germany,2010,High income: OECD,41785.556912554,39263.1877913261,82.0,-0.153198446937304,4843615.0,81776930.0
Europe & Central Asia,DNK,Denmark,2010,High income: OECD,58041.4112245601,43082.7555384582,88.72,0.444197154509531,326728.0,5547683.0
Europe & Central Asia,ESP,Spain,2010,High income: OECD,30736.6278530812,31984.806226273,65.8,0.460408305051304,2388415.0,46576897.0
Europe & Central Asia,EST,Estonia,2010,High income: OECD,14638.6048173457,21623.4496624486,74.1,-0.22805796852935,101168.0,1331475.0
Europe & Central Asia,FIN,Finland,2010,High income: OECD,46202.4151628454,38812.3188865779,86.89,0.457494535465831,322521.0,5363352.0
Europe & Central Asia,FRA,France,2010,High income: OECD,40703.3427911985,36026.982564473,77.28,0.494037458783112,3930005.0,65027512.0
Europe & Central Asia,GBR,United Kingdom,2010,High income: OECD,38893.0184937365,35909.7991503398,85.0,0.783888646646516,4197265.0,62766365.0
Europe & Central Asia,GEO,Georgia,2010,Lower middle income,2964.47703373088,6597.56854892246,26.9,-1.31580845775111,365456.0,3926000.0
Europe & Central Asia,GRC,Greece,2010,High income: OECD,26917.7589787254,28202.8333605299,44.4,0.128880432668041,624782.0,11121341.0
Europe & Central Asia,HRV,Croatia,2010,High income: nonOECD,13505.7458630323,19205.437355706,56.55,-0.255390215675652,274093.0,4417781.0
Europe & Central Asia,HUN,Hungary,2010,Upper middle income,13092.2337567695,21576.4982857201,65.0,-0.226013875689698,644296.0,10000023.0
Europe & Central Asia,IRL,Ireland,2010,High income: OECD,48671.8881193463,43340.1579000254,69.85,0.544884384079014,307685.0,4560155.0
Europe & Central Asia,ISL,Iceland,2010,High income: OECD,41676.4452733744,38410.6693030689,93.39,-0.143903000294037,23038.0,318041.0
Europe & Central Asia,ITA,Italy,2010,High income: OECD,35849.3731979401,35075.7527751846,53.68,0.30759122234095,2991346.0,59277417.0
Europe & Central Asia,KAZ,Kazakhstan,2010,Upper middle income,9070.64997199985,19690.3849700739,31.6,1.41224046867424,1643373.0,16321581.0
Europe & Central Asia,KGZ,Kyrgyz Republic,2010,Lower middle income,880.037775119109,2733.72933718566,16.3,1.19286442880631,620062.0,5447900.0
Europe & Central Asia,LTU,Lithuania,2010,High income: nonOECD,11984.8685698823,20129.6880341734,62.12,-2.09694341985475,235078.0,3097282.0
Europe & Central Asia,LUX,Luxembourg,2010,High income: OECD,104965.306078267,85779.0824032048,90.62,1.8254058035237,29417.0,506953.0
Europe & Central Asia,LVA,Latvia,2010,High income: nonOECD,11326.2194746243,17592.6279271219,68.42,-2.08130508988111,159828.0,2097555.0
Europe & Central Asia,MDA,Moldova,2010,Lower middle income,1631.53583179532,3831.74918707843,32.3,-0.0998646340688359,341242.0,3562045.0
Europe & Central Asia,MKD,Macedonia,2010,Upper middle income,4542.90410449183,11295.6418211168,51.9,0.07952013930695,157572.0,2070739.0
Europe & Central Asia,MNE,Montenegro,2010,Upper middle income,6682.28115774575,13661.3695281813,37.5,0.183239906425096,42978.0,619428.0
Europe & Central Asia,NLD,Netherlands,2010,High income: OECD,50338.2548273724,44585.5262255452,90.72,0.512923100553586,998953.0,16615394.0
Europe & Central Asia,NOR,Norway,2010,High income: OECD,87770.2668443401,58077.5889980622,93.39,1.24566617956207,308294.0,4889252.0
Europe & Central Asia,POL,Poland,2010,High income: OECD,12597.8623899641,21089.025670847,62.32,-0.285609121534849,2936439.0,38042794.0
Europe & Central Asia,PRT,Portugal,2010,High income: OECD,22538.6540773482,27360.9611166887,53.3,0.0459100367184907,584261.0,10573100.0
Europe & Central Asia,ROU,Romania,2010,Upper middle income,8297.48362072379,17180.5104677973,39.93,-0.593959183588628,1474042.0,20246871.0
Europe & Central Asia,RUS,Russia,2010,High income: nonOECD,10674.987707365,20497.934076089,43.0,0.0448873898392816,11945824.0,142849449.0
Europe & Central Asia,SRB,Serbia,2010,Upper middle income,5411.87740391911,12098.7463411209,40.9,-0.402005900874718,462020.0,7291436.0
Europe & Central Asia,SVK,Slovak Republic,2010,High income: OECD,16600.6135880385,25010.5445790089,75.71,0.0931912731899838,412511.0,5391428.0
Europe & Central Asia,SVN,Slovenia,2010,High income: OECD,23437.4720211387,27792.9779761335,70.0,0.43607948463593,130144.0,2048583.0
Europe & Central Asia,SWE,Sweden,2010,High income: OECD,52076.2559134864,41667.832085041,90.0,0.852524628765313,609266.0,9378126.0
Europe & Central Asia,TJK,Tajikistan,2010,Low income,738.347522660006,2063.73041090242,11.55,2.23386270801273,862384.0,7641630.0
Europe & Central Asia,TKM,Turkmenistan,2010,Upper middle income,4439.20300021757,9741.30529127428,3.0,1.57028969646116,347775.3333333333,5087210.0
Europe & Central Asia,TUR,Turkey,2010,Upper middle income,10672.0548208629,17459.5697219998,39.82,1.37505586908402,6302488.0,72326914.0
Europe & Central Asia,UKR,Ukraine,2010,Lower middle income,2965.14236549771,7666.2195766859,23.3,-0.397285236005943,3216027.0,45870700.0
Europe & Central Asia,UZB,Uzbekistan,2010,Lower middle income,1377.08214046938,4153.93884603207,15.9,2.82284968340424,3077083.0,28562400.0
Latin America & Caribbean,ARG,Argentina,2010,Upper middle income,10276.2604977053,18333.5436985461,45.0,1.0350371425283,3409538.0,41223889.0
Latin America & Caribbean,ATG,Antigua and Barbuda,2010,High income: nonOECD,12174.6978594572,18824.073146248,47.0,1.14747171215348,7208.0,94661.0
Latin America & Caribbean,BHS,The Bahamas,2010,High income: nonOECD,21921.5590634977,22431.9299506066,43.0,1.6700402670639,31501.0,360832.0
Latin America & Caribbean,BLZ,Belize,2010,Upper middle income,4344.15017661252,7715.95031849724,28.2,2.41665669265084,32039.0,321608.0
Latin America & Caribbean,BOL,Bolivia,2010,Lower middle income,1981.16070450437,5298.08451219437,22.4,1.62115743418645,954835.0,9918242.0
Latin America & Caribbean,BRA,Brazil,2010,Upper middle income,11224.1540829355,14244.9787898614,40.65,0.970296367127195,15909061.0,196796269.0
Latin America & Caribbean,BRB,Barbados,2010,High income: nonOECD,15959.0297922874,16124.9948326257,65.1,0.393879790063157,18953.0,279569.0
Latin America & Caribbean,CHL,Chile,2010,High income: OECD,12860.1776447469,18356.7762179634,45.0,0.969247386946243,1417518.0,16993354.0
Latin America & Caribbean,COL,Colombia,2010,Upper middle income,6250.65492574579,10680.0030066548,36.5,1.09908582748666,4248816.0,45918097.0
Latin America & Caribbean,CRI,Costa Rica,2010,Upper middle income,8199.41462068027,12737.0201761635,36.5,1.26235646760236,414305.0,4545280.0
Latin America & Caribbean,DMA,Dominica,2010,Upper middle income,6912.43571398947,9991.9764264162,47.45,0.295789770502838,6807.0,71440.0
Latin America & Caribbean,DOM,Dominican Republic,2010,Upper middle income,5451.06695994465,10898.5171855406,31.4,1.32442393441488,926711.0,9897985.0
Latin America & Caribbean,ECU,Ecuador,2010,Upper middle income,4657.3023611471,9163.15913647781,29.03,1.64329146840027,1414245.0,14934690.0
Latin America & Caribbean,GRD,Grenada,2010,Upper middle income,7365.6666592364,10951.8841081545,27.0,0.364640812121368,12283.0,104677.0
Latin America & Caribbean,GTM,Guatemala,2010,Lower middle income,2825.52406953376,6578.24729507297,10.5,2.1710395705368,1479205.0,14630417.0
Latin America & Caribbean,GUY,Guyana,2010,Lower middle income,3044.94912901667,5729.56312108395,29.9,0.115664355776001,60759.0,746556.0
Latin America & Caribbean,HND,Honduras,2010,Lower middle income,1932.85828999689,3890.85140670074,11.09,1.96875093883153,822487.0,8194778.0
Latin America & Caribbean,HTI,Haiti,2010,Low income,662.279518162433,1471.64864918954,8.37,1.47840089583663,1019236.0,9999617.0
Latin America & Caribbean,JAM,Jamaica,2010,Upper middle income,4682.52124815387,7834.27097755,27.67,0.467082082457756,262568.0,2817210.0
Latin America & Caribbean,KNA,St. Kitts and Nevis,2010,High income: nonOECD,13704.2544536956,20979.0619772943,63.0,1.09254392201555,4490.0,51445.0
Latin America & Caribbean,LCA,St. Lucia,2010,Upper middle income,8007.69648429285,11559.7598153608,43.3,0.906869388208226,15793.0,172580.0
Latin America & Caribbean,MEX,Mexico,2010,Upper middle income,8959.5814158753,14764.8100317733,31.05,1.55804244678539,10881786.0,117318941.0
Latin America & Caribbean,NIC,Nicaragua,2010,Lower middle income,1526.49793806178,3947.21676602953,10.0,1.24765041069789,610441.0,5737723.0
Latin America & Caribbean,PAN,Panama,2010,Upper middle income,7937.25993090731,15107.4294780668,40.1,1.76774570105356,313573.0,3643222.0
Latin America & Caribbean,PER,Peru,2010,Upper middle income,5022.49319096369,9755.14914796834,34.77,1.27500836314038,2840140.0,29373646.0
Latin America & Caribbean,PRI,Puerto Rico,2010,High income: nonOECD,26435.7401871545,33756.8159328219,45.3,-0.506170056982176,288779.0,3721525.0
Latin America & Caribbean,PRY,Paraguay,2010,Lower middle income,3225.59175373637,7142.05703875154,19.8,1.32992561181312,641977.0,6209877.0
Latin America & Caribbean,SLV,El Salvador,2010,Lower middle income,3474.39244489447,7152.20492482057,15.9,0.444647422190366,569111.0,6164626.0
Latin America & Caribbean,SUR,Suriname,2010,Upper middle income,8303.31332009764,13924.390720947,31.59,1.04785228136074,46267.0,526103.0
Latin America & Caribbean,TTO,Trinidad and Tobago,2010,High income: nonOECD,16683.9457843568,30628.5417613587,48.5,0.489260587751924,112953.0,1328100.0
Latin America & Caribbean,URY,Uruguay,2010,High income: nonOECD,11938.2120047097,16736.8510315505,46.4,0.346139748345401,258429.0,3374415.0
Latin America & Caribbean,VCT,St. Vincent and the Grenadines,2010,Upper middle income,6231.77023247462,9714.99907953801,33.7,0.0567329175935609,10281.0,109315.0
Latin America & Caribbean,VEN,Venezuela,2010,Upper middle income,13545.2058384559,16210.2899564076,37.37,1.52986504361861,2760772.0,29028033.0
Middle East & North Africa,ARE,United Arab Emirates,2010,High income: nonOECD,35049.1483168035,56415.0740513142,68.0,7.58709832289201,600984.6666666666,8270684.0
Middle East & North Africa,BHR,Bahrain,2010,High income: nonOECD,20722.1038895508,39749.8493845143,55.0,4.60390525330931,95593.0,1240862.0
Middle East & North Africa,DJI,Djibouti,2010,Lower middle income,1325.99072352076,2581.41660981976,6.5,1.6950783409916,93709.0,851146.0
Middle East & North Africa,DZA,Algeria,2010,Upper middle income,4463.39467488951,12610.2480535971,12.5,1.82135815863613,3835387.0,36117637.0
Middle East & North Africa,EGY,Egypt,2010,Lower middle income,2602.47954869567,9658.06521473712,21.6,1.97227751619681,8562616.0,84107606.0
Middle East & North Africa,IRN,Iran,2010,Upper middle income,6531.9274296787,17579.8739367271,15.9,1.18708425639044,8897566.0,74567511.0
Middle East & North Africa,IRQ,Iraq,2010,Upper middle income,4502.74904825726,12460.3379670716,2.5,2.86233481026105,2931488.0,30762701.0
Middle East & North Africa,ISR,Israel,2010,High income: OECD,30642.9406174863,28838.1752633985,67.5,1.82675240987847,609412.6666666666,7623600.0
Middle East & North Africa,JOR,Jordan,2010,Upper middle income,3679.19027463278,9281.1472117003,27.2,5.16091019202536,609693.0,7182390.0
Middle East & North Africa,KWT,Kuwait,2010,High income: nonOECD,38497.6169579293,73682.8683779231,61.4,6.16125114017792,243567.0,2998083.0
Middle East & North Africa,LBN,Lebanon,2010,Upper middle income,8858.28397743868,16118.9632902425,43.68,3.61493897040946,417964.0,4337141.0
Middle East & North Africa,LBY,Libya,2010,Upper middle income,12120.5621692062,29030.8433822135,14.0,0.782530353839159,624234.0,6169140.0
Middle East & North Africa,MAR,Morocco,2010,Lower middle income,2834.20471989688,6312.91542734005,52.0,1.30357443538642,3101397.0,32409639.0
Middle East & North Africa,MLT,Malta,2010,High income: nonOECD,21087.7946931036,27862.8507509239,63.0,0.49118281065151,29256.0,414508.0
Middle East & North Africa,OMN,Oman,2010,High income: nonOECD,19280.7473537557,44417.7679928745,35.8278,5.35263627653983,251094.66666666666,3041460.0
Middle East & North Africa,QAT,Qatar,2010,High income: nonOECD,70306.2278449301,122609.410776499,69.0,11.2206863282288,140613.0,1779676.0
Middle East & North Africa,SAU,Saudi Arabia,2010,High income: nonOECD,19259.5872568465,44502.4193074312,41.0,2.82593777247208,2474542.0,27425676.0
Middle East & North Africa,TUN,Tunisia,2010,Upper middle income,4140.1517698059,10225.2522337184,36.8,1.11614722142513,1052343.0,10639931.0
Middle East & North Africa,YEM,Yemen,2010,Lower middle income,1309.23195973585,4388.14484651907,12.35,2.71303386256953,2573703.0,23606779.0
North America,BMU,Bermuda,2010,High income: nonOECD,88207.3275597322,55254.2141192067,84.21,-0.780059723322568,4256.0,65124.0
North America,CAN,Canada,2010,High income: OECD,47447.4760241936,40027.2402088674,80.3,1.11395972071239,2313895.0,34005274.0
North America,USA,United States,2010,High income: OECD,48373.8788155779,48373.8788155779,71.69,0.836421536252919,21679020.0,309348193.0
South Asia,AFG,Afghanistan,2010,Low income,553.300289383064,1581.60083598967,4.0,2.81261695888044,2490352.0,28803167.0
South Asia,BGD,Bangladesh,2010,Low income,757.671757176894,2393.31583163503,3.7,1.11988788804906,15075014.0,152149102.0
South Asia,BTN,Bhutan,2010,Lower middle income,2178.92138307967,6289.81436412947,13.6,1.82835814221659,78471.0,727641.0
South Asia,IND,India,2010,Lower middle income,1345.77015320886,4315.59602443741,7.5,1.36679795698174,115795728.0,1230980691.0
South Asia,LKA,Sri Lanka,2010,Lower middle income,2819.51116056146,8389.99039305163,12.0,0.753365002008212,1600489.0,20119000.0
South Asia,MDV,Maldives,2010,Upper middle income,7052.2508403582,11682.8752202252,26.53,1.92578166044145,40674.0,367000.0
South Asia,NPL,Nepal,2010,Low income,592.183521642014,1945.80668141075,7.93,1.04916050907034,2616363.0,27023137.0
South Asia,PAK,Pakistan,2010,Lower middle income,1040.14226787636,4196.95580923862,8.0,2.07975534677765,17940468.0,170560182.0
Sub-Saharan Africa,AGO,Angola,2010,Upper middle income,3529.05348173757,5775.864013056,2.8,3.57009863798221,1923759.0,23369131.0
Sub-Saharan Africa,BDI,Burundi,2010,Low income,231.194325649216,748.380657602419,1.0,3.2211828553465,929339.0,8766930.0
Sub-Saharan Africa,BEN,Benin,2010,Low income,757.695907409377,1781.98706633659,3.13,2.80610884361564,862615.0,9199259.0
Sub-Saharan Africa,BFA,Burkina Faso,2010,Low income,575.446452687734,1394.58472667042,2.4,3.01924468828771,1429767.0,15605217.0
Sub-Saharan Africa,BWA,Botswana,2010,Upper middle income,6346.15620387349,13064.4662387584,6.0,1.75154449757078,220982.0,2014866.0
Sub-Saharan Africa,CAF,Central African Republic,2010,Low income,446.443449375206,870.044080916885,2.0,1.00071378122449,436156.0,4448525.0
Sub-Saharan Africa,CIV,Côte d'Ivoire,2010,Lower middle income,1219.74909551521,2635.83777138699,2.7,2.30546426353247,1787917.0,20401331.0
Sub-Saharan Africa,CMR,Cameroon,2010,Lower middle income,1309.12220801948,2870.56268713564,4.3,2.7306902313796,1996070.0,19970495.0
Sub-Saharan Africa,COD,Dem. Rep. Congo,2010,Low income,318.075751596552,597.076987349427,0.72,3.33093595752052,6021958.0,64523263.0
Sub-Saharan Africa,COG,Congo,2010,Lower middle income,2737.34233022991,5081.43214469695,5.0,3.07836267516329,364880.0,4386693.0
Sub-Saharan Africa,COM,Comoros,2010,Low income,769.174288260466,1383.9296940583,5.1,2.41254187719426,68511.0,689692.0
Sub-Saharan Africa,CPV,Cabo Verde,2010,Lower middle income,3312.82598480901,5710.34425217671,30.0,1.08491908678436,58617.0,502384.0
Sub-Saharan Africa,ERI,Eritrea,2010,Low income,482.1490904235,1387.71466344319,0.61,1.85051574340403,516768.0,4390840.0
Sub-Saharan Africa,ETH,Ethiopia,2010,Low income,341.309909200504,1052.10426150867,0.75,2.64159447665885,7877398.0,87702670.0
Sub-Saharan Africa,GAB,Gabon,2010,Upper middle income,8754.11392185095,15045.1665571067,13.0,3.31338623417802,146861.0,1640210.0
Sub-Saharan Africa,GHA,Ghana,2010,Lower middle income,1312.60755731025,2997.5259544255,7.8,2.51282973900612,2309918.0,24512104.0
Sub-Saharan Africa,GIN,Guinea,2010,Low income,635.671485240139,1543.51448652397,1.0,2.22621161386768,960307.0,10794170.0
Sub-Saharan Africa,GMB,The Gambia,2010,Low income,562.482515949497,1610.96812320668,9.2,3.15714056163095,152418.0,1692149.0
Sub-Saharan Africa,GNB,Guinea-Bissau,2010,Low income,546.721668646992,1372.0353014013,2.45,2.50113254815474,159615.0,1555880.0
Sub-Saharan Africa,GNQ,Equatorial Guinea,2010,High income: nonOECD,17136.4456757583,33041.1883529952,6.0,4.51562162024935,65958.0,951104.0
Sub-Saharan Africa,KEN,Kenya,2010,Low income,967.340077341325,2425.76061730584,7.2,2.72840571240366,4185194.0,41350152.0
Sub-Saharan Africa,LBR,Liberia,2010,Low income,327.420509735634,685.500686062562,2.3,3.52106240624552,359936.0,3948125.0
Sub-Saharan Africa,LSO,Lesotho,2010,Lower middle income,1169.26784178666,2317.82892840665,3.86,1.05140188598318,231786.0,2040551.0
Sub-Saharan Africa,MDG,Madagascar,2010,Low income,412.730934137725,1357.65456267808,1.7,2.79264732396225,2064725.0,21151640.0
Sub-Saharan Africa,MLI,Mali,2010,Low income,708.370763247419,1834.11705927596,2.0,3.15701050954501,1343196.0,15075085.0
Sub-Saharan Africa,MOZ,Mozambique,2010,Low income,419.225814942685,899.198728120615,4.17,2.92128916415123,2288151.0,24221405.0
Sub-Saharan Africa,MRT,Mauritania,2010,Lower middle income,1203.38366252431,3249.87692872441,4.0,2.90232435136587,327821.0,3609543.0
Sub-Saharan Africa,MUS,Mauritius,2010,Upper middle income,8000.37643182154,15616.0068425246,28.33,0.237886692890185,99214.0,1250400.0
Sub-Saharan Africa,MWI,Malawi,2010,Low income,458.868174427665,1012.06745790371,2.26,3.02879445593096,1486628.0,15167095.0
Sub-Saharan Africa,NAM,Namibia,2010,Upper middle income,5191.58308141444,8289.69602705332,11.6,1.67652370814964,224312.0,2173170.0
Sub-Saharan Africa,NER,Niger,2010,Low income,348.151510969273,797.511741535431,0.83,3.79496318310688,1162821.0,16425578.0
Sub-Saharan Africa,NGA,Nigeria,2010,Lower middle income,2327.32066957391,5045.9781670335,11.5,2.6687468571641,14711701.0,158578261.0
Sub-Saharan Africa,RWA,Rwanda,2010,Low income,563.491048683175,1325.78162054261,8.0,2.66424148029303,1127101.0,10246842.0
Sub-Saharan Africa,SDN,Sudan,2010,Lower middle income,1476.47808657841,3298.00474917495,16.7,2.16169776110491,3488731.0,34385963.0
Sub-Saharan Africa,SEN,Senegal,2010,Lower middle income,1002.52994032218,2139.81582613702,8.0,2.86908520486472,1246451.0,12916229.0
Sub-Saharan Africa,SLE,Sierra Leone,2010,Low income,405.128401768805,1192.59655886196,0.58,2.32542756052049,556054.0,6458720.0
Sub-Saharan Africa,STP,São Tomé and Principe,2010,Lower middle income,1129.754961462,2588.07974333705,18.75,2.29357631535468,17811.0,174776.0
Sub-Saharan Africa,SWZ,Swaziland,2010,Lower middle income,3690.23922847955,7148.9127033737,11.04,1.8601612583229,146463.0,1202843.0
Sub-Saharan Africa,SYC,Seychelles,2010,Upper middle income,10804.6844747547,19953.1605009972,41.0,2.79232906929128,7793.0,89770.0
Sub-Saharan Africa,TCD,Chad,2010,Low income,896.569734113861,1886.25106054051,1.7,3.28730923098424,1053098.0,11887202.0
Sub-Saharan Africa,TGO,Togo,2010,Low income,487.923891266382,1183.83933770636,3.0,2.68814287140674,613081.0,6502952.0
Sub-Saharan Africa,TZA,Tanzania,2010,Low income,701.604550062032,2048.29359256743,2.9,3.16094055989423,3994838.0,46098591.0
Sub-Saharan Africa,UGA,Uganda,2010,Low income,595.206173218534,1485.20267891388,12.5,3.4290027639141,3014924.0,33915133.0
Sub-Saharan Africa,ZAF,South Africa,2010,Upper middle income,7361.75585035621,11785.6051355226,24.0,1.42960403336828,5368882.0,50979432.3622277
Sub-Saharan Africa,ZMB,Zambia,2010,Lower middle income,1463.21357310715,3212.94188088675,10.0,2.88315226585892,1361124.0,13850033.0
Sub-Saharan Africa,ZWE,Zimbabwe,2010,Low income,719.979516975012,1445.04239513756,6.4,1.97675598375432,1602057.0,14086317.0
